Method, Input Class, Average Loop Count, Average Time
Bubble,C:\Users\ethan\source\repos\Term Project\Text Files\Reverse Sorted Numbers 1000.txt,1062,21.040454893617
Shell,C:\Users\ethan\source\repos\Term Project\Text Files\Reverse Sorted Numbers 1000.txt,8,1.50961670212766
Radix,C:\Users\ethan\source\repos\Term Project\Text Files\Reverse Sorted Numbers 1000.txt,9,0.292879255319149
Heap,C:\Users\ethan\source\repos\Term Project\Text Files\Reverse Sorted Numbers 1000.txt,16,0.34133170212766
Merge,C:\Users\ethan\source\repos\Term Project\Text Files\Reverse Sorted Numbers 1000.txt,13,0.890146808510638
Quick,C:\Users\ethan\source\repos\Term Project\Text Files\Reverse Sorted Numbers 1000.txt,535,13.1639391489362
Insertion,C:\Users\ethan\source\repos\Term Project\Text Files\Sorted Numbers 1000.txt,0,0.0186298936170212
Bubble,C:\Users\ethan\source\repos\Term Project\Text Files\Sorted Numbers 1000.txt,0,0.0109678723404257
Shell,C:\Users\ethan\source\repos\Term Project\Text Files\Sorted Numbers 1000.txt,8,0.523247659574468
Radix,C:\Users\ethan\source\repos\Term Project\Text Files\Sorted Numbers 1000.txt,9,0.301209680851064
Heap,C:\Users\ethan\source\repos\Term Project\Text Files\Sorted Numbers 1000.txt,18,0.315487127659575
Merge,C:\Users\ethan\source\repos\Term Project\Text Files\Sorted Numbers 1000.txt,13,0.710948297872341
Quick,C:\Users\ethan\source\repos\Term Project\Text Files\Sorted Numbers 1000.txt,3,3.03886712765957
